Continente,cod continente,País,cod pais,UF,cod uf,Via,cod via,ano,Mês,cod mes,Chegadas
Ásia,5,Tailândia,220,Bahia,5,Aérea,1,2018,abril,4,0
Ásia,5,Taiwan,221,Bahia,5,Aérea,1,2018,abril,4,1
Ásia,5,Outros países,998,Bahia,5,Aérea,1,2018,abril,4,2
Europa,6,Alemanha,4,Bahia,5,Aérea,1,2018,abril,4,185
Europa,6,Áustria,15,Bahia,5,Aérea,1,2018,abril,4,15
Europa,6,Bélgica,21,Bahia,5,Aérea,1,2018,abril,4,37
Europa,6,Bulgária,31,Bahia,5,Aérea,1,2018,abril,4,1
Europa,6,Croácia,54,Bahia,5,Aérea,1,2018,abril,4,1
Europa,6,Dinamarca,57,Bahia,5,Aérea,1,2018,abril,4,12
Europa,6,Eslováquia,65,Bahia,5,Aérea,1,2018,abril,4,0
Europa,6,Eslovênia,66,Bahia,5,Aérea,1,2018,abril,4,3
Europa,6,Espanha,67,Bahia,5,Aérea,1,2018,abril,4,582
Europa,6,Estônia,69,Bahia,5,Aérea,1,2018,abril,4,0
Europa,6,Finlândia,73,Bahia,5,Aérea,1,2018,abril,4,4
